department_key,department_id,department_name,floor
1,1,Purpose Department,2
2,2,Brother Department,1
3,3,Ago Department,5
4,4,Site Department,4
5,5,Face Department,4
6,6,Election Department,3
7,7,Dog Department,2
8,8,Chair Department,9
9,9,Since Department,2
10,10,Blue Department,10
11,11,Require Department,7
12,12,Sit Department,1
13,13,Wait Department,1
14,14,Offer Department,2
15,15,Begin Department,4
16,16,Performance Department,4
17,17,Knowledge Department,9
18,18,Almost Department,10
19,19,All Department,1
20,20,Better Department,9
21,21,Discover Department,4
22,22,Early Department,9
23,23,Mouth Department,7
24,24,Play Department,4
25,25,Agreement Department,8
26,26,Option Department,10
27,27,Decide Department,5
28,28,Sense Department,1
29,29,Rate Department,3
30,30,Science Department,7
31,31,Offer Department,6
32,32,Kind Department,5
33,33,Discussion Department,3
34,34,List Department,4
35,35,Perform Department,6
36,36,Fall Department,2
37,37,Table Department,2
38,38,True Department,7
39,39,According Department,2
40,40,Song Department,6
41,41,Sure Department,6
42,42,Collection Department,10
43,43,Save Department,5
44,44,Knowledge Department,1
45,45,Grow Department,8
46,46,Fall Department,9
47,47,Clearly Department,2
48,48,Dinner Department,7
49,49,Source Department,2
50,50,Great Department,9
